Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_125	[3]	[0, 1, 3, 4]	[3]	[3]	[0, 3, 4]	[3, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4]	[0, 4]	
subject4_file_369	[3]	[0, 3, 4]	[1, 3, 4]	[1, 3, 4]	[0, 1, 3]	[3]	[3]	[1, 3]	[3]	[3]	[1, 3]	
subject4_file_366	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_360	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_646	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_392	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_161	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_651	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_419	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_652	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_668	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[3, 4]	[3]	[3]	[3]	
subject4_file_676	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	
subject4_file_68	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_693	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	
subject4_file_7	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3, 4]	[3]	[3]	[3, 9]	
subject4_file_456	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[0, 1, 4]	[0, 1, 3, 4]	[4, 9]	[9]	[3, 9]	
subject4_file_458	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_198	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1]	[0, 1, 4]	[3]	[3]	[3]	
subject4_file_225	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_219	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[1, 3]	[1, 3]	[3]	
subject4_file_521	[3]	[0, 3, 4]	[1, 3, 4]	[1, 3, 4]	[0, 1, 3]	[3]	[3]	[1, 3]	[3]	[3]	[1, 3]	
subject4_file_180	[3]	[0, 3, 4]	[3]	[3]	[0, 1, 3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_209	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3, 4]	
subject4_file_325	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4]	[3]	[3]	
subject4_file_182	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_23	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[3]	[3]	[3]	[3]	
subject4_file_258	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_324	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_276	[3]	[0, 1, 3, 4]	[0, 3, 4]	[3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_544	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_295	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_553	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	
subject4_file_288	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_226	[3]	[0, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_817	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 4]	[1, 4]	[4]	
subject4_file_779	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_727	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[0, 1, 3]	[4, 9]	[0, 1, 3, 4]	[1, 3]	[3]	
subject4_file_761	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	
subject4_file_736	[3]	[0, 3, 4]	[1, 3, 4]	[3]	[0, 1, 3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_714	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[3]	[1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_706	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[3, 4]	[3, 4]	[3]	[3]	[3]	[3]	[3]	[]	
subject4_file_704	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 4]	
subject4_file_822	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	
subject4_file_737	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[3, 4]	[3]	[3]	[3]	
subject4_file_812	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 1, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[3]	
subject4_file_806	[3]	[0, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_746	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[4, 9]	[0, 1, 3]	[1, 3, 4]	[3]	[3]	[3]	
subject4_file_253	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[4]	[4]	
subject4_file_776	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_1	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_921	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4]	[3]	[3]	
subject4_file_942	[3]	[0, 1, 3, 4]	[3]	[0, 3, 4]	[0, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 3, 4]	[3]	[0, 3]	
subject4_file_962	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_854	[3]	[0, 1, 3, 4]	[0, 3]	[3]	[0, 3]	[3]	[1, 3]	[0, 1, 3, 6]	[0, 1, 3, 6]	[0, 1, 3, 6]	[0, 1, 3, 6]	
subject4_file_602	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[1, 3, 4]	[1, 3, 4]	[3]	[3]	[0, 3]	[0, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_957	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[1, 3]	[3]	[0, 1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_960	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 3, 4]	
subject4_file_995	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	
subject4_file_835	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_834	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[0, 1, 3]	[4, 9]	[3]	[4, 9]	[3]	
subject4_file_918	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_838	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[0, 1, 3]	[4, 9]	[3]	[4, 9]	[3]	
subject4_file_829	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_985	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[3]	[3]	[3]	[3]	
subject4_file_387	[3]	[0, 1, 3, 4]	[0, 3]	[0, 3]	[0, 3, 4]	[0, 3, 4]	[0, 3]	[0, 3, 4]	[0, 3, 4]	[0, 4]	[0, 3, 4]	
subject4_file_980	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3, 4]	
subject4_file_975	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[3, 4]	[3]	[3]	[3]	[0, 1, 3]	[0, 3]	[0, 3]	
subject4_file_968	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	
subject4_file_966	[3]	[0, 1, 3, 4]	[0, 3]	[0, 3]	[0, 3, 4]	[0, 3, 4]	[0, 3]	[0, 3, 4]	[0, 3, 4]	[0, 4]	[0, 3, 4]	
subject4_file_402	[3]	[0, 1, 3, 4]	[0, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_41	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[4, 9]	[0, 4, 9]	[3]	[3]	[3]	[3]	
subject4_file_439	[3]	[0, 1, 3, 4]	[0, 3]	[3]	[3]	[3]	[3]	[3, 6]	[3, 6]	[3]	[3]	
subject4_file_418	[3]	[0, 1, 3, 4]	[3]	[0, 3, 4]	[0, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 3, 4]	[3]	[0, 3]	
subject4_file_443	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_675	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[]	[3]	
subject4_file_457	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[1, 4]	
subject4_file_470	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[4, 9]	[4, 9]	[0, 1, 4]	[0, 4, 9]	[0, 1, 4]	
subject4_file_164	[3]	[0, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_451	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[1, 3]	[1, 3]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[0, 1, 3]	
subject4_file_563	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	
subject4_file_61	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	
subject4_file_186	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	
subject4_file_869	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_826	[3]	[0, 3, 4]	[3]	[3]	[3]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[3, 4]	[3]	[3]	
subject4_file_842	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[3, 9]	[3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_190	[3]	[0, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_571	[3]	[0, 1, 3, 4]	[3]	[3]	[0, 3, 4]	[3, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4]	[0, 4]	
subject4_file_6	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_262	[3]	[0, 1, 3, 4]	[0, 3, 4]	[3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject4_file_969	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_843	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3, 4]	[3]	[3]	[3, 9]	
subject4_file_285	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[4, 9]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[1, 3]	[1, 3]	
subject4_file_278	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4, 9]	[4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject4_file_538	[3]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[]	[3]	
subject4_file_321	[3]	[0, 3, 4]	[1, 3, 4]	[3]	[0, 1, 3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_856	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 4, 9]	[1, 3]	[3, 4, 9]	[4, 9]	[4, 9]	[4, 9]	
