ファイル,レシピ1,レシピ2,レシピ3
subject3_file_402,2.268588662147522,0.8944923579692841,1.303928181529045
subject3_file_854,1.2940222024917603,1.07423597574234,1.9779628813266754
subject3_file_520,0.8575049638748169,1.538270652294159,2.4418843388557434
subject1_file_622,0,0,0
subject1_file_869,0,0,0
subject1_file_807,0,0,0
subject1_file_463,0,0,0
subject1_file_830,0,0,0
subject1_file_272,0,0,0
subject1_file_382,0,0,0
subject1_file_588,0,0,0
subject1_file_140,0,0,0
subject1_file_213,0,0,0
subject1_file_685,0,0,0
subject1_file_389,0,0,0
subject1_file_247,0,0,0
subject1_file_808,0,0,0
subject1_file_238,0,0,0
subject1_file_985,0,0,0
subject1_file_499,0,0,0
subject1_file_980,0,0,0
subject1_file_310,0,0,0
subject1_file_793,0,0,0
subject1_file_618,0,0,0
subject1_file_780,0,0,0
subject1_file_313,0,0,0
subject1_file_958,0,0,0
subject1_file_98,0,0,0
subject1_file_424,0,0,0
subject1_file_964,0,0,0
subject1_file_884,0,0,0
subject1_file_263,0,0,0
subject1_file_784,0,0,0
subject1_file_684,0,0,0
subject1_file_968,0,0,0
subject1_file_786,0,0,0
subject1_file_243,0,0,0
subject1_file_957,0,0,0
subject1_file_319,0,0,0
subject1_file_853,0,0,0
subject1_file_11,0,0,0
subject1_file_814,0,0,0
subject1_file_873,0,0,0
subject1_file_513,0,0,0
subject1_file_721,0,0,0
subject1_file_204,0,0,0
subject1_file_768,0,0,0
subject1_file_254,0,0,0
subject1_file_536,0,0,0
subject1_file_96,0,0,0
subject1_file_37,0,0,0
subject1_file_281,0,0,0
subject1_file_849,0,0,0
subject1_file_485,0,0,0
subject1_file_496,0,0,0
subject1_file_564,0,0,0
subject1_file_871,0,0,0
subject1_file_743,0,0,0
subject1_file_417,0,0,0
subject1_file_39,0,0,0
subject1_file_858,0,0,0
subject1_file_353,0,0,0
subject1_file_979,0,0,0
subject1_file_348,0,0,0
subject1_file_302,0,0,0
subject1_file_570,0,0,0
subject1_file_162,0,0,0
subject1_file_969,0,0,0
subject1_file_72,0,0,0
subject1_file_734,0,0,0
subject1_file_759,0,0,0
subject1_file_320,0,0,0
subject1_file_385,0,0,0
subject1_file_430,0,0,0
subject1_file_526,0,0,0
subject1_file_976,0,0,0
subject1_file_309,0,0,0
subject1_file_45,0,0,0
subject1_file_770,0,0,0
subject1_file_211,0,0,0
subject1_file_713,0,0,0
subject1_file_462,0,0,0
subject1_file_287,0,0,0
